\49A\,\0200\,\49B\,\0200\,\49A\,\0200\,\7FF\,\049A\,\0000\,\0101\,\-\,\-\
\49B\,\1206\,\49C\,\1206\,\49B\,\1206\,\7FF\,\049B\,\00C2\,\0101\,\-\,\-\
\49C\,\0A00\,\47E\,\0A00\,\7FF\,\047E\,\000\,\049C\,\00C2\,\0101\,\-\,\-\
\47E\,\DE13\,\492\,\DE13\,\7FF\,\047F\,\7FF\,\0492\,\00C2\,\0101\,\7FF\,\047F\
\492\,\0C00\,\493\,\0C00\,\7FE\,\00C2\,\7FE\,\0492\,\00C2\,\0101\,\7FE\,\00C2\
\493\,\A80E\,\494\,\A80E\,\56B\,\0000\,\7FE\,\000E\,\0000\,\0101\,\-\,\-\
\494\,\2E0F\,\495\,\2E0F\,\4A4\,\FF00\,\7FE\,\000F\,\0000\,\0101\,\-\,\-\
\495\,\3C00\,\496\,\3C00\,\7FE\,\00C2\,\7FE\,\FF3D\,\00C2\,\0001\,\-\,\-\
\496\,\E80B\,\497\,\E80B\,\56B\,\00C2\,\7FE\,\000B\,\00C2\,\0001\,\56B\,\00C2\
\497\,\0800\,\498\,\0800\,\7FE\,\00C2\,\7FF\,\0497\,\00C2\,\0001\,\-\,\-\
\498\,\0A00\,\47F\,\0A00\,\7FF\,\047F\,\000\,\0498\,\00C2\,\0001\,\-\,\-\
\47F\,\7E23\,\480\,\7E23\,\4A3\,\0000\,\000\,\0023\,\00C2\,\0001\,\-\,\-\
\480\,\F006\,\481\,\F006\,\480\,\F006\,\000\,\0480\,\00C2\,\0001\,\-\,\-\
\481\,\DE17\,\499\,\DE17\,\7FF\,\0482\,\7FF\,\0499\,\00C2\,\0001\,\7FF\,\0482\
\499\,\DE03\,\49D\,\DE03\,\7FE\,\049A\,\7FE\,\049D\,\00C2\,\0001\,\7FE\,\049A\
\49D\,\1207\,\49E\,\1207\,\49D\,\1207\,\7FE\,\049D\,\0040\,\0001\,\-\,\-\
