<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,26/09/18,10:36,116150.0000000,116190.0000000,116090.0000000,116090.0000000,1812
SPFB.RTS-12.18,1,26/09/18,10:37,116100.0000000,116130.0000000,116020.0000000,116090.0000000,714
SPFB.RTS-12.18,1,26/09/18,10:38,116100.0000000,116100.0000000,116030.0000000,116040.0000000,229
SPFB.RTS-12.18,1,26/09/18,10:39,116040.0000000,116050.0000000,115950.0000000,115950.0000000,732
SPFB.RTS-12.18,1,26/09/18,10:40,115950.0000000,115980.0000000,115940.0000000,115940.0000000,568
SPFB.RTS-12.18,1,26/09/18,10:41,115940.0000000,116040.0000000,115930.0000000,116000.0000000,696
SPFB.RTS-12.18,1,26/09/18,10:42,116000.0000000,116030.0000000,115980.0000000,116020.0000000,318
SPFB.RTS-12.18,1,26/09/18,10:43,116030.0000000,116040.0000000,115990.0000000,116000.0000000,193
SPFB.RTS-12.18,1,26/09/18,10:44,116000.0000000,116070.0000000,115970.0000000,116030.0000000,305
SPFB.RTS-12.18,1,26/09/18,10:45,116020.0000000,116040.0000000,115970.0000000,115990.0000000,402
SPFB.RTS-12.18,1,26/09/18,10:46,115980.0000000,115990.0000000,115930.0000000,115940.0000000,414
SPFB.RTS-12.18,1,26/09/18,10:47,115940.0000000,116010.0000000,115940.0000000,115970.0000000,258
SPFB.RTS-12.18,1,26/09/18,10:48,115960.0000000,115960.0000000,115900.0000000,115900.0000000,537
SPFB.RTS-12.18,1,26/09/18,10:49,115900.0000000,115910.0000000,115870.0000000,115900.0000000,469
SPFB.RTS-12.18,1,26/09/18,10:50,115900.0000000,115960.0000000,115890.0000000,115960.0000000,339
SPFB.RTS-12.18,1,26/09/18,10:51,115960.0000000,115970.0000000,115910.0000000,115970.0000000,371
SPFB.RTS-12.18,1,26/09/18,10:52,115970.0000000,116060.0000000,115960.0000000,116000.0000000,581
SPFB.RTS-12.18,1,26/09/18,10:53,116010.0000000,116020.0000000,115970.0000000,115980.0000000,299
SPFB.RTS-12.18,1,26/09/18,10:54,115990.0000000,116000.0000000,115930.0000000,115940.0000000,166
SPFB.RTS-12.18,1,26/09/18,10:55,115940.0000000,115980.0000000,115930.0000000,115980.0000000,126
SPFB.RTS-12.18,1,26/09/18,10:56,115990.0000000,115990.0000000,115950.0000000,115980.0000000,79
SPFB.RTS-12.18,1,26/09/18,10:57,115960.0000000,115980.0000000,115890.0000000,115900.0000000,392
SPFB.RTS-12.18,1,26/09/18,10:58,115890.0000000,115970.0000000,115890.0000000,115910.0000000,708
SPFB.RTS-12.18,1,26/09/18,10:59,115920.0000000,115940.0000000,115880.0000000,115910.0000000,345
SPFB.RTS-12.18,1,26/09/18,11:00,115900.0000000,115900.0000000,115840.0000000,115890.0000000,596
SPFB.RTS-12.18,1,26/09/18,11:01,115900.0000000,116010.0000000,115880.0000000,115990.0000000,991
SPFB.RTS-12.18,1,26/09/18,11:02,115990.0000000,115990.0000000,115930.0000000,115930.0000000,340
SPFB.RTS-12.18,1,26/09/18,11:03,115940.0000000,116000.0000000,115920.0000000,115980.0000000,650
SPFB.RTS-12.18,1,26/09/18,11:04,115960.0000000,115980.0000000,115870.0000000,115900.0000000,275
SPFB.RTS-12.18,1,26/09/18,11:05,115910.0000000,115910.0000000,115850.0000000,115860.0000000,260
SPFB.RTS-12.18,1,26/09/18,11:06,115850.0000000,115880.0000000,115820.0000000,115840.0000000,521
SPFB.RTS-12.18,1,26/09/18,11:07,115840.0000000,115900.0000000,115810.0000000,115900.0000000,459
SPFB.RTS-12.18,1,26/09/18,11:08,115880.0000000,115890.0000000,115850.0000000,115880.0000000,145
SPFB.RTS-12.18,1,26/09/18,11:09,115870.0000000,115940.0000000,115870.0000000,115930.0000000,158
SPFB.RTS-12.18,1,26/09/18,11:10,115940.0000000,115960.0000000,115930.0000000,115940.0000000,247
SPFB.RTS-12.18,1,26/09/18,11:11,115940.0000000,115950.0000000,115900.0000000,115920.0000000,63
SPFB.RTS-12.18,1,26/09/18,11:12,115930.0000000,115950.0000000,115920.0000000,115950.0000000,146
SPFB.RTS-12.18,1,26/09/18,11:13,115940.0000000,115970.0000000,115920.0000000,115950.0000000,174
SPFB.RTS-12.18,1,26/09/18,11:14,115950.0000000,116010.0000000,115950.0000000,115990.0000000,416
SPFB.RTS-12.18,1,26/09/18,11:15,115980.0000000,116000.0000000,115920.0000000,115930.0000000,299
SPFB.RTS-12.18,1,26/09/18,11:16,115920.0000000,115930.0000000,115870.0000000,115870.0000000,228
SPFB.RTS-12.18,1,26/09/18,11:17,115890.0000000,115950.0000000,115850.0000000,115950.0000000,871
SPFB.RTS-12.18,1,26/09/18,11:18,115950.0000000,115970.0000000,115920.0000000,115950.0000000,439
SPFB.RTS-12.18,1,26/09/18,11:19,115940.0000000,115980.0000000,115930.0000000,115980.0000000,216
SPFB.RTS-12.18,1,26/09/18,11:20,115980.0000000,116050.0000000,115960.0000000,115980.0000000,905
SPFB.RTS-12.18,1,26/09/18,11:21,115980.0000000,116010.0000000,115950.0000000,115970.0000000,513
SPFB.RTS-12.18,1,26/09/18,11:22,115980.0000000,115990.0000000,115880.0000000,115900.0000000,396
SPFB.RTS-12.18,1,26/09/18,11:23,115880.0000000,115930.0000000,115860.0000000,115860.0000000,456
SPFB.RTS-12.18,1,26/09/18,11:24,115880.0000000,115950.0000000,115860.0000000,115930.0000000,429
SPFB.RTS-12.18,1,26/09/18,11:25,115930.0000000,115930.0000000,115890.0000000,115920.0000000,87
SPFB.RTS-12.18,1,26/09/18,11:26,115940.0000000,115950.0000000,115880.0000000,115890.0000000,183
SPFB.RTS-12.18,1,26/09/18,11:27,115890.0000000,115910.0000000,115890.0000000,115910.0000000,74
